valores,rua,bairro_cidade,link
"R$1,450,000",Rua João Moura,"Pinheiros, São Paulo",/imovel/198323/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$1,480,000",Rua Bela Cintra,"Consolação, São Paulo",/imovel/230660/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$620,000",Rua do Imperador,"Vila Paiva, São Paulo",/imovel/198323/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$300,000",Av. Paes de Barros,"Mooca, São Paulo",/imovel/198323/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$3,520,000",Rua Vicente Romano,"Parque da Mooca, São Paulo",/imovel/230660/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$855,000",Av. Lino Jardim,"Vila Bastos, Santo André",/imovel/230660/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$240,000",Av. Luiz Dumont Villares,"Jardim São Paulo, São Paulo",/imovel/215296/apartamento-1-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$1,550,000",Rua Piranhas,"Vila Lilica, Santo André",/imovel/130240/apartamento-3-dorms-vila_lilica-santo_andre-venda/
"R$615,000",Rua Paula Ney,"Vila Mariana, São Paulo",/imovel/232947/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$695,000",Av. Paes de Barros,"Mooca, São Paulo",/imovel/54809/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$360,000",Rua Vinte e Quatro de Maio,"Vila América, Santo André",/imovel/232377/apartamento-2-dorms-vila_america-santo_andre-venda/
"R$1,500,000",Al. Jaú,"Jardim Paulista, São Paulo",/imovel/52735/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$960,000",Rua João Moura,"Pinheiros, São Paulo",/imovel/198323/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$275,000",Av. Professor Luiz Ignácio Anhaia Mello,"Vila Graciosa, São Paulo",/imovel/230660/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$2,180,000",Rua Barão de Jaceguai,"Campo Belo, São Paulo",/imovel/215296/apartamento-1-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$681,000",Al. Itu,"Jardim Paulista, São Paulo",/imovel/130240/apartamento-3-dorms-vila_lilica-santo_andre-venda/
"R$5,600,000",Rua dos Caetés,"Perdizes, São Paulo",/imovel/232947/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$970,000",Rua Pelotas,"Vila Mariana, São Paulo",/imovel/54809/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$300,000",Av. Vila Ema,"Vila Ema, São Paulo",/imovel/232377/apartamento-2-dorms-vila_america-santo_andre-venda/
"R$4,290,000",Rua do Paraíso,"Paraíso, São Paulo",/imovel/52735/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$1,100,000",Rua Capitão Alberto Mendes Júnior,"Água Fria, São Paulo",/imovel/198323/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$2,300,000",Rua Cincinato Braga,"Bela Vista, São Paulo",/imovel/198323/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$900,000",Rua Tacomaré,"Parque da Mooca, São Paulo",/imovel/230660/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$2,150,000",Rua Rui Martins,"Alto da Moóca, São Paulo",/imovel/215296/apartamento-1-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$1,280,000",Al. Santos,"Cerqueira César, São Paulo",/imovel/130240/apartamento-3-dorms-vila_lilica-santo_andre-venda/
"R$500,000",Av. Paes de Barros,"Mooca, São Paulo",/imovel/130240/apartamento-3-dorms-vila_lilica-santo_andre-venda/
"R$1,277,000",Rua Venezuela,"Centro, Santo André",/imovel/232947/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$1,385,000",Av. Aratãs,"Indianópolis, São Paulo",/imovel/232947/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$450,000",Rua Ismael Neri,"Água Fria, São Paulo",/imovel/54809/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$2,120,000",Rua Cônego Eugênio Leite,"Pinheiros, São Paulo",/imovel/232377/apartamento-2-dorms-vila_america-santo_andre-venda/
"R$380,000",Rua Aragão,"Vila Mazzei, São Paulo",/imovel/52735/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$1,200,000",Rua Rubiácea,"Água Fria, São Paulo",/imovel/198323/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$2,120,000",Rua Pascal,"Campo Belo, São Paulo",/imovel/230660/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$659,000",Rua Tenente Gelás,"Tatuapé, São Paulo",/imovel/215296/apartamento-1-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$640,000",Av. Piassanguaba,"Planalto Paulista, São Paulo",/imovel/130240/apartamento-3-dorms-vila_lilica-santo_andre-venda/
"R$397,000",Rua Capitão Rabelo,"Jardim São Paulo, São Paulo",/imovel/232947/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$1,060,000",Rua General Gois Monteiro,"Vila Anglo Brasileira, São Paulo",/imovel/54809/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$1,431,000",Rua Professor João de Oliveira Torres,"Jardim Anália Franco, São Paulo",/imovel/54809/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$721,000",Av. Cotovia,"Indianópolis, São Paulo",/imovel/232377/apartamento-2-dorms-vila_america-santo_andre-venda/
"R$1,500,000",Rua Itapura,"Vila Alpina, Santo André",/imovel/232377/apartamento-2-dorms-vila_america-santo_andre-venda/
"R$1,385,000",Rua Pedroso Alvarenga,"Itaim Bibi, São Paulo",/imovel/52735/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$990,000",Rua Silva Jardim,"Centro, São Bernardo do Campo",/imovel/52735/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$1,580,000",Rua Antônio Carlos,"Consolação, São Paulo",/imovel/198323/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$360,000",Rua Dianópolis,"Parque da Mooca, São Paulo",/imovel/198323/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$1,500,000",Rua Alves Guimarães,"Pinheiros, São Paulo",/imovel/230660/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$1,700,000",Rua São Geraldo,"Perdizes, São Paulo",/imovel/230660/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$310,000",Rua Doutor Nicolau de Souza Queirós,"Vila Mariana, São Paulo",/imovel/215296/apartamento-1-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$1,280,000",Av. Padre Anchieta,"Jardim, Santo André",/imovel/215296/apartamento-1-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$692,000",Rua do Oratório,"Alto da Moóca, São Paulo",/imovel/130240/apartamento-3-dorms-vila_lilica-santo_andre-venda/
"R$520,000",Rua Curupace,"Mooca, São Paulo",/imovel/130240/apartamento-3-dorms-vila_lilica-santo_andre-venda/
"R$1,700,000",Rua Ouvidor Peleja,"Vila Mariana, São Paulo",/imovel/232947/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
